name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium sp. Ash2021	2954771	S	12782	1206	13988	0.00122
Bradyrhizobium sp. NP1	3049772	S	11606	1500	13106	0.00115
Bradyrhizobium sp. CB82	3039159	S	9208	1068	10276	0.00090
Bradyrhizobium sp. 170	2782641	S	8407	1893	10300	0.00090
Bradyrhizobium sp. WD16	1521768	S	8106	1401	9507	0.00083
Bradyrhizobium sp. 200	2782665	S	7624	1427	9051	0.00079
Bradyrhizobium sp. BTAi1	288000	S	7314	1213	8527	0.00074
Bradyrhizobium sp. ORS 285	115808	S	6614	1210	7824	0.00068
Bradyrhizobium sp. CCBAU 051011	858422	S	6523	978	7501	0.00066
Bradyrhizobium sp. CCBAU 51753	1325100	S	6460	1212	7672	0.00067
Bradyrhizobium sp. ORS 278	114615	S	6409	1257	7666	0.00067
Bradyrhizobium sp. BWA-3-5	3080013	S	6273	892	7165	0.00063
Bradyrhizobium sp. sBnM-33	2831780	S	6254	653	6907	0.00060
Bradyrhizobium sp. CB3481	3039158	S	5982	963	6945	0.00061
Bradyrhizobium genosp. L	83637	S	5801	1050	6851	0.00060
Bradyrhizobium sp. 186	2782654	S	5498	1235	6733	0.00059
Bradyrhizobium sp. CB1650	3039153	S	5453	1067	6520	0.00057
Bradyrhizobium sp. SK17	2057741	S	4370	2108	6478	0.00057
Bradyrhizobium sp. CIAT3101	439387	S	4105	752	4857	0.00042
Bradyrhizobium sp. CCBAU 53340	1325112	S	3749	1410	5159	0.00045
Bradyrhizobium sp. CCBAU 53421	1325120	S	3230	878	4108	0.00036
Bradyrhizobium sp. 1(2017)	1404888	S	3125	752	3877	0.00034
Bradyrhizobium sp. 195	2782662	S	2831	812	3643	0.00032
Bradyrhizobium sp. NDS-1	3080014	S	2823	717	3540	0.00031
Bradyrhizobium sp. CB1015	2976822	S	2346	769	3115	0.00027
Bradyrhizobium sp. CCGE-LA001	1223566	S	2343	614	2957	0.00026
Bradyrhizobium sp. CB1717	3039154	S	2261	790	3051	0.00027
Bradyrhizobium sp. B097	3140244	S	2162	969	3131	0.00027
Bradyrhizobium sp. B124	3140245	S	2138	1007	3145	0.00027
Bradyrhizobium sp. 41S5	1404443	S	1993	1142	3135	0.00027
Bradyrhizobium sp. 6(2017)	1197460	S	1860	1562	3422	0.00030
Bradyrhizobium sp. CCBAU 51765	1325102	S	1849	1320	3169	0.00028
Bradyrhizobium sp. 191	2782659	S	1809	1444	3253	0.00028
Bradyrhizobium sp. I71	2590772	S	1737	1374	3111	0.00027
Bradyrhizobium sp. 62B	2898442	S	1495	1518	3013	0.00026
Bradyrhizobium sp. BEA-2-5	3080015	S	1350	1412	2762	0.00024
Bradyrhizobium sp. C-145	574727	S	1330	822	2152	0.00019
Bradyrhizobium sp. CCBAU 53351	1325114	S	1308	1867	3175	0.00028
Bradyrhizobium sp.	376	S	1210	4006	5216	0.00046
Bradyrhizobium sp. CB2312	3039155	S	1116	2468	3584	0.00031
Bradyrhizobium sp. B117	3140246	S	1018	2188	3206	0.00028
Bradyrhizobium sp. NC92	55395	S	864	890	1754	0.00015
Bradyrhizobium sp. 40	2782674	S	858	1746	2604	0.00023
Bradyrhizobium sp. 4	2782678	S	837	1904	2741	0.00024
Bradyrhizobium sp. WSM471	319017	S	797	1698	2495	0.00022
Bradyrhizobium sp. 2S1	1404429	S	796	2613	3409	0.00030
Bradyrhizobium sp. CCBAU 53338	1325111	S	753	1045	1798	0.00016
Bradyrhizobium sp. 192	2782660	S	733	1219	1952	0.00017
Bradyrhizobium sp. BWC-3-1	3080012	S	711	2747	3458	0.00030
Bradyrhizobium sp. 26S5	3139729	S	655	2660	3315	0.00029
Bradyrhizobium sp. 27S5	3139728	S	594	2540	3134	0.00027
Bradyrhizobium sp. LCT2	2493093	S	568	1086	1654	0.00014
Bradyrhizobium sp. WU425	187029	S	340	2071	2411	0.00021
Bradyrhizobium sp. 187	2782655	S	307	1799	2106	0.00018
Bradyrhizobium sp. CCGUVB23	2949630	S	280	222	502	0.00004
Bradyrhizobium sp. SEMIA	2597515	S	208	986	1194	0.00010
Bradyrhizobium sp. TM102	2599819	S	203	837	1040	0.00009
Bradyrhizobium sp. 172	2782643	S	168	2526	2694	0.00024
Bradyrhizobium sp. 131	2782609	S	136	2897	3033	0.00026
Bradyrhizobium sp. CCGUVB1N3	2949629	S	120	218	338	0.00003
Bradyrhizobium sp. CW1	2782686	S	120	2371	2491	0.00022
Bradyrhizobium sp. 155	2782629	S	84	1555	1639	0.00014
Bradyrhizobium sp. UASWS1016	1566379	S	34	18	52	0.00000
Bradyrhizobium sp. ISRA464	2866200	S	18	4262	4280	0.00037
Bradyrhizobium sp. B024	3140247	S	16	731	747	0.00007
Bradyrhizobium sp. B039	3140239	S	15	963	978	0.00009
Bradyrhizobium sp. ISRA463	2866199	S	13	1639	1652	0.00014
Bradyrhizobium erythrophlei	1437360	S	48949	3341	52290	0.00457
Bradyrhizobium sediminis	2840469	S	19340	2665	22005	0.00192
Bradyrhizobium diazoefficiens	1355477	S	12062	53986	66048	0.00577
Bradyrhizobium lablabi	722472	S	10779	8362	19141	0.00167
Bradyrhizobium arachidis	858423	S	10041	8630	18671	0.00163
Bradyrhizobium roseus	3056648	S	8484	929	9413	0.00082
Bradyrhizobium oligotrophicum	44255	S	7726	1169	8895	0.00078
Bradyrhizobium canariense	255045	S	7639	483	8122	0.00071
Bradyrhizobium prioritasuperba	2854389	S	6328	514	6842	0.00060
Bradyrhizobium ontarionense	2898149	S	6263	867	7130	0.00062
Bradyrhizobium cosmicum	1404864	S	5982	1251	7233	0.00063
Bradyrhizobium elkanii	29448	S	4482	5156	9638	0.00084
Bradyrhizobium paxllaeri	190148	S	4424	607	5031	0.00044
Bradyrhizobium icense	1274631	S	3841	533	4374	0.00038
Bradyrhizobium japonicum	375	S	3758	7121	10879	0.00095
Bradyrhizobium barranii	2992140	S	3490	4939	8429	0.00074
Bradyrhizobium commune	83627	S	3310	522	3832	0.00033
Bradyrhizobium symbiodeficiens	1404367	S	3294	2404	5698	0.00050
Bradyrhizobium guangzhouense	1325095	S	3051	1139	4190	0.00037
Bradyrhizobium guangdongense	1325090	S	2939	1098	4037	0.00035
Bradyrhizobium vignae	1549949	S	2441	436	2877	0.00025
Bradyrhizobium brasilense	1419277	S	2389	993	3382	0.00030
Bradyrhizobium guangxiense	1325115	S	2388	955	3343	0.00029
Bradyrhizobium xenonodulans	2736875	S	2365	482	2847	0.00025
Bradyrhizobium quebecense	2748629	S	2311	1087	3398	0.00030
Bradyrhizobium amphicarpaeae	1404768	S	2092	567	2659	0.00023
Bradyrhizobium betae	244734	S	2074	3152	5226	0.00046
Bradyrhizobium septentrionale	1404411	S	1913	1068	2981	0.00026
Bradyrhizobium huanghuaihaiense	990078	S	1904	557	2461	0.00022
Bradyrhizobium yuanmingense	108015	S	1885	2257	4142	0.00036
Bradyrhizobium daqingense	993502	S	1794	633	2427	0.00021
Bradyrhizobium ottawaense	931866	S	1541	3276	4817	0.00042
Bradyrhizobium pachyrhizi	280333	S	1030	870	1900	0.00017
Bradyrhizobium zhanjiangense	1325107	S	1024	619	1643	0.00014
Rhodopseudomonas palustris	1076	S	19636	5010	24646	0.00215
Rhodopseudomonas sp. P2A-2r	2991972	S	3399	677	4076	0.00036
Rhodopseudomonas sp. BAL398	3034676	S	3021	1489	4510	0.00039
Rhodopseudomonas boonkerdii	475937	S	1743	726	2469	0.00022
Tardiphaga sp. 709	3076039	S	1214	438	1652	0.00014
Tardiphaga sp. 42S5	1404799	S	813	535	1348	0.00012
Tardiphaga sp. 37S4	1404741	S	681	662	1343	0.00012
Tardiphaga sp. vice278	2592815	S	105	1701	1806	0.00016
Tardiphaga sp. vice154	2592814	S	95	1000	1095	0.00010
