name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Klebsiella pneumoniae	573	S	512051	2389952	2902003	0.02711
Klebsiella quasipneumoniae	1463165	S	33849	28503	62352	0.00058
Klebsiella aerogenes	548	S	32880	3692	36572	0.00034
Klebsiella variicola	244366	S	29788	42321	72109	0.00067
Klebsiella michiganensis	1134687	S	25201	12564	37765	0.00035
Klebsiella oxytoca	571	S	23389	2560	25949	0.00024
Klebsiella sp. WP4-W18-ESBL-05	2675713	S	3969	11399	15368	0.00014
Klebsiella sp. PL-2018	2851540	S	1363	412	1775	0.00002
Klebsiella sp. PCX	2686364	S	1267	24679	25946	0.00024
Klebsiella sp. WP3-W18-ESBL-02	2675710	S	813	2831	3644	0.00003
Klebsiella sp. LTGPAF-6F	1905288	S	481	2184	2665	0.00002
Klebsiella sp. P1954	2829835	S	437	94040	94477	0.00088
Klebsiella sp. BDA134-6	2787706	S	226	113	339	0.00000
Klebsiella sp. KPN54798	2897413	S	203	3668	3871	0.00004
Klebsiella sp. P1927	2829836	S	200	40835	41035	0.00038
Klebsiella sp. LY	2015795	S	141	1742	1883	0.00002
Klebsiella sp. M5al	1934254	S	67	5049	5116	0.00005
Klebsiella sp. P1CD1	2267618	S	47	58	105	0.00000
Klebsiella sp. CTHL.F3a	2873296	S	28	13	41	0.00000
Klebsiella sp. WP8-S18-ESBL-06	2675726	S	15	9	24	0.00000
Klebsiella sp. ZYC-1	2951084	S	12	13	25	0.00000
Klebsiella sp. RHBSTW-00464	2742649	S	10	1869	1879	0.00002
Klebsiella electrica	1259973	S	2287	191	2478	0.00002
Klebsiella grimontii	2058152	S	1740	1836	3576	0.00003
Klebsiella pasteurii	2587529	S	1476	1241	2717	0.00003
Klebsiella huaxiensis	2153354	S	456	42	498	0.00000
Klebsiella quasivariicola	2026240	S	284	50	334	0.00000
Klebsiella africana	2489010	S	137	10	147	0.00000
Raoultella ornithinolytica	54291	S	7851	7789	15640	0.00015
Raoultella planticola	575	S	1321	255	1576	0.00001
Raoultella sp. XY-1	2799495	S	640	3273	3913	0.00004
Raoultella sp. DY2415	2993656	S	376	259	635	0.00001
Raoultella sp. HC6	2923366	S	33	2	35	0.00000
Raoultella terrigena	577	S	633	35	668	0.00001
Escherichia coli	562	S	881716	4861425	5743141	0.05365
Escherichia albertii	208962	S	25002	29517	54519	0.00051
Escherichia fergusonii	564	S	12982	2021	15003	0.00014
Escherichia marmotae	1499973	S	155	7	162	0.00000
Escherichia sp. E4742	2044467	S	47	1	48	0.00000
Escherichia sp. TC-EC600-tetX4	2857061	S	23	14678	14701	0.00014
Enterobacter ludwigii	299767	S	199933	56623	256556	0.00240
Enterobacter hormaechei	158836	S	52405	138383	190788	0.00178
Enterobacter asburiae	61645	S	22921	9997	32918	0.00031
Enterobacter cloacae	550	S	19765	93048	112813	0.00105
Enterobacter kobei	208224	S	19632	14135	33767	0.00032
Enterobacter roggenkampii	1812935	S	15529	3005	18534	0.00017
Enterobacter cloacae complex sp. ECL68	2850494	S	945	9477	10422	0.00010
Enterobacter sp. BIDMC 29	1329841	S	631	229	860	0.00001
Enterobacter cloacae complex sp. ECL352	2876028	S	279	3060	3339	0.00003
Enterobacter cloacae complex sp. ECL72	2850078	S	98	781	879	0.00001
Enterobacter cloacae complex sp. ECL405	2912630	S	46	273	319	0.00000
Enterobacter cloacae complex sp. FDA-CDC-AR_0164	2077136	S	39	24	63	0.00000
