query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs	COG_ID
JHX87_RS00005	472175.EL18_00647	0.0	900.0	COG2217@1|root,COG2217@2|Bacteria,1MU08@1224|Proteobacteria,2TR80@28211|Alphaproteobacteria,43HNC@69277|Phyllobacteriaceae	28211|Alphaproteobacteria	P	heavy metal translocating P-type ATPase	actP	-	3.6.3.54	ko:K17686	ko01524,ko04016,map01524,map04016	-	R00086	RC00002	ko00000,ko00001,ko01000	3.A.3.5	-	-	E1-E2_ATPase,Hydrolase,YHS	COG2217
THEAM_RS06890	648996.Theam_1367	0.0	868.0	COG0037@1|root,COG0037@2|Bacteria,2G41C@200783|Aquificae	200783|Aquificae	D	Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine	tilS	-	6.3.4.19	ko:K04075	-	-	R09597	RC02633,RC02634	ko00000,ko01000,ko03016	-	-	-	ATP_bind_3,TilS_C	COG0037
B9O19_RS07170	693746.OBV_02530	1.2599999999999999e-34	148.0	COG0845@1|root,COG0845@2|Bacteria,1TT2M@1239|Firmicutes,24BJV@186801|Clostridia,2N6ZE@216572|Oscillospiraceae	186801|Clostridia	M	Barrel-sandwich domain of CusB or HlyD membrane-fusion	-	-	-	ko:K02005	-	-	-	-	ko00000	-	-	-	Biotin_lipoyl_2,HlyD_3,HlyD_D23	COG0845
FFM53_RS27935	1042326.AZNV01000067_gene5648	6.119999999999999e-207	589.0	COG4585@1|root,COG4585@2|Bacteria,1R4AM@1224|Proteobacteria,2VF8V@28211|Alphaproteobacteria,4BCFF@82115|Rhizobiaceae	28211|Alphaproteobacteria	T	Histidine kinase-like ATPases	-	-	-	-	-	-	-	-	-	-	-	-	HATPase_c,HisKA_3	COG4585
F0R75_RS00005	573569.F7308_0640	4.5099999999999996e-119	345.0	COG0081@1|root,COG0081@2|Bacteria,1MUE6@1224|Proteobacteria,1RMDW@1236|Gammaproteobacteria,46090@72273|Thiotrichales	72273|Thiotrichales	J	Binds directly to 23S rRNA. The L1 stalk is quite mobile in the ribosome, and is involved in E site tRNA release	rplA	-	-	ko:K02863	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_L1	COG0081
H4Q84_RS00005	110319.CF8_1910	4.23e-79	244.0	COG1989@1|root,COG1989@2|Bacteria,2GJ7K@201174|Actinobacteria,4DRTI@85009|Propionibacteriales	201174|Actinobacteria	NOU	Type IV leader peptidase family	-	-	3.4.23.43	ko:K02654	-	M00331	-	-	ko00000,ko00002,ko01000,ko01002,ko02035,ko02044	3.A.15.2	-	-	Peptidase_A24	COG1989
HRR99_RS05365	1041139.KB902635_gene3710	9.959999999999999e-82	242.0	COG0048@1|root,COG0048@2|Bacteria,1RCWY@1224|Proteobacteria,2U70K@28211|Alphaproteobacteria,4BE2N@82115|Rhizobiaceae	28211|Alphaproteobacteria	J	Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit	rpsL	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02950	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosom_S12_S23	COG0048
HRR99_RS07765	1220582.RRU01S_14_02030	5.17e-179	499.0	COG0052@1|root,COG0052@2|Bacteria,1MU33@1224|Proteobacteria,2TRXE@28211|Alphaproteobacteria,4B8SN@82115|Rhizobiaceae	28211|Alphaproteobacteria	J	Belongs to the universal ribosomal protein uS2 family	rpsB	GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904	-	ko:K02967	ko03010,map03010	M00178,M00179	-	-	br01610,ko00000,ko00001,ko00002,ko03011	-	-	-	Ribosomal_S2	COG0052
TDEL_0F01940	4950.XP_003682216.1	7.02e-61	216.0	2CN9Y@1|root,2QUR8@2759|Eukaryota,38Q8K@33154|Opisthokonta,3P162@4751|Fungi,3QSAQ@4890|Ascomycota,3RSJU@4891|Saccharomycetes,3S0XU@4893|Saccharomycetaceae	4751|Fungi	S	to Saccharomyces cerevisiae DDR48 (YMR173W)	DDR48	GO:0003674,GO:0003824,GO:0003924,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006979,GO:0008150,GO:0008152,GO:0009987,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0033554,GO:0034599,GO:0034641,GO:0042221,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0070887,GO:0071704,GO:0090304,GO:1901360	-	-	-	-	-	-	-	-	-	-	-	-
TDEL_0F03080	4950.XP_003682330.1	0.0	2379.0	KOG2054@1|root,KOG2054@2759|Eukaryota,38FNZ@33154|Opisthokonta,3NVZF@4751|Fungi,3QJSH@4890|Ascomycota,3RRX5@4891|Saccharomycetes,3S0FA@4893|Saccharomycetaceae	4751|Fungi	J	U3 small nucleolar RNA-associated protein 22	UTP22	GO:0000462,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0006139,GO:0006364,GO:0006396,GO:0006403,GO:0006405,GO:0006409,GO:0006611,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0008104,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0015031,GO:0015833,GO:0015931,GO:0016070,GO:0016072,GO:0022613,GO:0030490,GO:0030515,GO:0030684,GO:0030686,GO:0031503,GO:0031974,GO:0031981,GO:0032040,GO:0032545,GO:0032991,GO:0033036,GO:0034456,GO:0034470,GO:0034613,GO:0034641,GO:0034660,GO:0042254,GO:0042274,GO:0042886,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044452,GO:0044464,GO:0045184,GO:0046483,GO:0046907,GO:0050657,GO:0050658,GO:0051031,GO:0051168,GO:0051169,GO:0051179,GO:0051234,GO:0051236,GO:0051641,GO:0051649,GO:0070013,GO:0070727,GO:0071166,GO:0071426,GO:0071431,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0090304,GO:0097064,GO:0097159,GO:1901360,GO:1901363,GO:1990904	-	ko:K14544	ko03008,map03008	-	-	-	ko00000,ko00001,ko03009	-	-	-	Nrap,Nrap_D2,Nrap_D3,Nrap_D4,Nrap_D5,Nrap_D6	-
